               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090588,             0.19491,            0.018552,             0.39319,             0.36723,             0.31161,             0.15936,             0.09044,             0.21982,            0.020573,           0.0033325,           0.0033325,            0.070008
                   1,            0.089552,             0.18882,            0.016967,             0.41042,             0.33254,               0.313,             0.15594,            0.090915,             0.22097,            0.020229,           0.0066657,           0.0066657,            0.040008
                   2,            0.089807,             0.18835,              0.0164,             0.35738,             0.32281,             0.28861,             0.14185,             0.09088,             0.22086,             0.02075,           0.0099983,           0.0099983,            0.010007
                   3,            0.090188,             0.19001,            0.016234,             0.36015,             0.32425,             0.28635,               0.144,            0.091247,              0.2204,            0.022797,            0.009998,            0.009998,            0.009998
                   4,            0.089312,             0.18687,            0.015482,             0.30255,             0.30116,             0.25755,             0.12409,            0.091895,              0.2244,            0.023034,            0.009998,            0.009998,            0.009998
                   5,            0.088582,             0.18564,            0.015057,             0.34692,             0.32361,             0.27821,             0.13781,            0.091704,             0.22179,            0.021745,           0.0099965,           0.0099965,           0.0099965
                   6,            0.088655,             0.18484,            0.014785,             0.35393,             0.32616,             0.28769,             0.14409,            0.092337,             0.22107,             0.02234,           0.0099945,           0.0099945,           0.0099945
                   7,            0.088369,             0.18396,            0.014607,             0.31626,              0.3188,             0.26616,             0.12994,            0.091504,             0.22276,             0.02274,           0.0099921,           0.0099921,           0.0099921
                   8,             0.08802,             0.18378,            0.014391,             0.33266,             0.35798,             0.28414,             0.14146,            0.091915,             0.22207,            0.023804,           0.0099893,           0.0099893,           0.0099893
                   9,            0.087592,             0.18276,             0.01414,             0.36446,             0.28998,             0.27049,             0.13248,            0.091603,             0.22226,            0.022273,            0.009986,            0.009986,            0.009986
                  10,            0.087353,             0.18189,            0.014032,             0.35042,             0.30547,             0.26855,             0.13172,            0.092898,             0.22317,            0.023142,           0.0099822,           0.0099822,           0.0099822
                  11,            0.087318,             0.18149,            0.013886,             0.33525,             0.31497,             0.27106,             0.13488,            0.091526,              0.2242,            0.022113,           0.0099781,           0.0099781,           0.0099781
                  12,            0.087078,             0.17982,            0.013714,             0.33919,             0.35497,             0.29295,               0.146,            0.091183,             0.22389,             0.02203,           0.0099735,           0.0099735,           0.0099735
                  13,            0.087065,             0.18009,            0.013722,             0.38045,             0.31793,              0.2923,              0.1478,            0.091838,             0.22448,              0.0222,           0.0099685,           0.0099685,           0.0099685
                  14,             0.08686,             0.18071,            0.013605,             0.34699,             0.31797,             0.28555,             0.14269,             0.09174,             0.22322,            0.021319,            0.009963,            0.009963,            0.009963
                  15,            0.086657,             0.17908,            0.013515,             0.37906,             0.30277,              0.2826,             0.13963,             0.09145,             0.22302,            0.022055,           0.0099571,           0.0099571,           0.0099571
                  16,             0.08643,             0.17908,            0.013409,               0.372,             0.31873,             0.28439,             0.14191,             0.09189,             0.22311,            0.022772,           0.0099508,           0.0099508,           0.0099508
                  17,            0.086465,              0.1786,            0.013373,             0.41869,             0.29238,             0.28704,             0.14198,            0.091732,             0.22455,            0.021928,            0.009944,            0.009944,            0.009944
