               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 166,            0.092026,             0.16422,            0.016085,              0.4698,             0.31601,             0.31023,             0.16486,            0.090575,             0.24062,            0.021982,           0.0053743,           0.0053743,           0.0053743
                 167,            0.092172,             0.16409,            0.016244,             0.46424,              0.3177,              0.3102,             0.16512,            0.090574,             0.24063,            0.021986,           0.0053329,           0.0053329,           0.0053329
                 168,            0.091626,             0.16109,            0.016075,             0.47081,             0.31522,             0.31034,             0.16526,            0.090571,             0.24063,            0.021989,           0.0052917,           0.0052917,           0.0052917
                 169,            0.092091,             0.16258,            0.015959,             0.46922,              0.3157,             0.30997,             0.16525,            0.090567,             0.24065,            0.021992,           0.0052505,           0.0052505,           0.0052505
                 170,            0.091673,             0.16233,            0.016072,             0.46602,             0.31655,             0.30998,             0.16521,            0.090563,             0.24067,            0.021995,           0.0052094,           0.0052094,           0.0052094
                 171,            0.092095,             0.16212,            0.015972,              0.4617,             0.31846,             0.31014,             0.16518,            0.090559,             0.24067,            0.021999,           0.0051684,           0.0051684,           0.0051684
                 172,            0.091786,             0.16178,            0.015916,             0.46426,             0.31739,             0.31005,             0.16523,            0.090559,             0.24062,            0.022002,           0.0051274,           0.0051274,           0.0051274
                 173,            0.092268,             0.16379,            0.015926,             0.47095,              0.3149,             0.31023,             0.16523,            0.090557,             0.24057,            0.022002,           0.0050866,           0.0050866,           0.0050866
                 174,            0.091994,             0.16183,             0.01581,             0.46968,               0.315,             0.30997,              0.1648,            0.090553,             0.24066,            0.022003,           0.0050459,           0.0050459,           0.0050459
                 175,            0.092078,             0.16196,            0.016017,             0.47332,             0.31344,                0.31,              0.1651,            0.090551,             0.24067,            0.022003,           0.0050052,           0.0050052,           0.0050052
                 176,            0.091985,             0.16348,            0.015879,             0.47592,              0.3131,             0.31017,             0.16503,            0.090548,             0.24063,            0.022004,           0.0049647,           0.0049647,           0.0049647
                 177,            0.091834,             0.16331,            0.015968,             0.47285,             0.31421,             0.30995,             0.16499,            0.090545,             0.24064,            0.022002,           0.0049243,           0.0049243,           0.0049243
                 178,             0.09161,             0.16168,            0.015852,             0.47312,             0.31421,             0.30975,             0.16479,            0.090544,             0.24066,            0.022003,            0.004884,            0.004884,            0.004884
                 179,            0.091605,             0.16135,            0.015592,             0.47385,             0.31367,             0.30913,             0.16443,            0.090539,             0.24062,            0.022003,           0.0048439,           0.0048439,           0.0048439
                 180,            0.092139,             0.16295,             0.01592,             0.47263,             0.31436,             0.30975,             0.16484,            0.090535,             0.24069,            0.022002,           0.0048038,           0.0048038,           0.0048038
                 181,            0.092405,             0.16375,            0.015845,              0.4691,             0.31559,             0.31002,             0.16488,            0.090531,             0.24065,            0.022002,           0.0047639,           0.0047639,           0.0047639
                 182,            0.091474,             0.16341,            0.015772,             0.46943,             0.31569,             0.30951,             0.16465,            0.090529,             0.24068,            0.022003,           0.0047242,           0.0047242,           0.0047242
                 183,            0.091898,             0.16254,            0.015679,             0.46558,             0.31685,             0.30933,             0.16463,            0.090527,             0.24069,            0.022003,           0.0046845,           0.0046845,           0.0046845
                 184,            0.091362,             0.16173,            0.015621,             0.45947,             0.31856,             0.30929,             0.16458,            0.090524,             0.24075,            0.022005,            0.004645,            0.004645,            0.004645
                 185,            0.091789,             0.16117,            0.015791,             0.45779,             0.31969,              0.3098,              0.1649,            0.090522,             0.24077,            0.022004,           0.0046057,           0.0046057,           0.0046057
                 186,            0.091623,             0.16074,             0.01569,             0.46824,             0.32322,             0.30991,             0.16469,            0.090521,             0.24082,            0.022003,           0.0045665,           0.0045665,           0.0045665
                 187,             0.09171,             0.16276,            0.015537,             0.47412,              0.3205,             0.31045,             0.16506,             0.09052,             0.24076,            0.022003,           0.0045275,           0.0045275,           0.0045275
                 188,            0.091522,             0.16176,            0.015597,             0.47438,             0.32052,             0.31026,             0.16493,            0.090518,             0.24082,            0.022003,           0.0044886,           0.0044886,           0.0044886
                 189,            0.091013,             0.16024,            0.015576,             0.47924,             0.31839,             0.31066,             0.16506,            0.090518,             0.24074,            0.022005,           0.0044499,           0.0044499,           0.0044499
                 190,            0.091779,             0.16092,            0.015534,             0.47968,               0.318,             0.31071,             0.16513,            0.090517,             0.24075,            0.022007,           0.0044114,           0.0044114,           0.0044114
