(0.0, 0.0)
(-0.0013287868350744247, 0.00026312971021980047)
(-0.015429850667715073, 0.0030520036816596985)
(-0.04091474413871765, 0.007511863950639963)
(-0.08128277212381363, 0.01424358319491148)
(-0.13613538444042206, 0.023514026775956154)
(-0.21033942699432373, 0.03659582883119583)
(-0.29117876291275024, 0.05160721763968468)
(-0.3949999511241913, 0.0719718262553215)
(-0.4851369559764862, 0.09052111953496933)
(-0.5856288075447083, 0.1120435819029808)
(-0.7007720470428467, 0.13767187297344208)
(-0.8298535943031311, 0.1674671769142151)
(-0.9487749934196472, 0.19580195844173431)
(-1.071240782737732, 0.22579693794250488)
(-1.180942177772522, 0.2533131241798401)
(-1.2976279258728027, 0.2832179069519043)
(-1.4226182699203491, 0.31591367721557617)
(-1.54276442527771, 0.3479679226875305)
(-1.662524700164795, 0.3805188536643982)
(-1.7628697156906128, 0.4082401394844055)
(-1.8669549226760864, 0.4373909533023834)
(-1.9651682376861572, 0.46524855494499207)
(-2.0658907890319824, 0.49417516589164734)
(-2.1566059589385986, 0.5205541253089905)
(-2.2509970664978027, 0.5483063459396362)
(-2.344196319580078, 0.5759889483451843)
(-2.4220645427703857, 0.5993133187294006)
(-2.502084493637085, 0.6234427690505981)
(-2.5769927501678467, 0.6461454033851624)
(-2.6397531032562256, 0.6652140617370605)
(-2.7098770141601562, 0.6865550875663757)
(-2.817950963973999, 0.7194223403930664)
(-2.866136074066162, 0.7339805960655212)
(-2.910491943359375, 0.747223436832428)
(-2.947155714035034, 0.7579836249351501)
(-2.9849119186401367, 0.7687570452690125)
(-3.01522159576416, 0.777022123336792)
(-3.0452983379364014, 0.7846258878707886)
(-3.068495988845825, 0.7897281646728516)
(-3.0864365100860596, 0.7926227450370789)
(-3.1000096797943115, 0.7931278944015503)
(-3.1067230701446533, 0.7915348410606384)
(-3.1093196868896484, 0.7878894209861755)
(-3.1075918674468994, 0.7822812795639038)
(-3.10141921043396, 0.7740656733512878)
(-3.091083526611328, 0.7636597752571106)
(-3.0784077644348145, 0.7524692416191101)
(-3.0614349842071533, 0.7385774254798889)
(-3.041025161743164, 0.7226768136024475)
(-3.0128777027130127, 0.7014820575714111)
(-2.984032154083252, 0.680228590965271)
(-2.9531168937683105, 0.6577287912368774)
(-2.917581558227539, 0.6320375204086304)
(-2.8762669563293457, 0.6022438406944275)
(-2.8322997093200684, 0.5704845190048218)
(-2.780566453933716, 0.5327939391136169)
(-2.732789993286133, 0.49757295846939087)
(-2.6829564571380615, 0.4603646397590637)
(-2.62878680229187, 0.41921839118003845)
(-2.570201873779297, 0.3738861083984375)
(-2.5154876708984375, 0.33085867762565613)
