(-17.583573373984475, 3.711473870463338)
(-15.944132426965547, 2.261252064533635)
(-17.878304779039905, 2.702590010306718)
(-18.301888056113285, 3.1994654838755063)
(-17.818742434879617, 3.550026554919302)
(-18.017711439165243, 3.99597219415942)
(-17.872246740881288, 4.329660513074863)
(-17.248606166974827, 4.488131149933046)
(-16.90978815492038, 4.637908248019411)
(-16.53502498315048, 4.714176003669243)
(-15.862854733943129, 4.6928733582169695)
(-15.31354372968182, 4.691399370755336)
(-15.031303935206452, 4.732169159967873)
(-14.623344137258021, 4.70147507032922)
(-14.513529195717043, 4.755652324427753)
(-13.95340463845241, 4.651119036173156)
(-13.903169512971287, 4.699394348156912)
(-13.701003619776033, 4.722901461706525)
(-13.540858479986685, 4.734224632656997)
(-13.190208658220255, 4.6634092399475975)
(-12.995342504575252, 4.655315437287772)
(-12.892131296316563, 4.6861263167736995)
(-12.962184674373653, 4.770212179362569)
(-12.661713612658748, 4.713656078776531)
(-12.545499591923985, 4.697004889200974)
(-12.407532976824413, 4.6713559586733355)
(-12.271237525460444, 4.644843989377671)
(-12.126168369869077, 4.614553926562832)
(-11.831201745363288, 4.6692377470008735)
(-11.854104127944812, 4.719476973852152)
(-11.8339301190937, 4.768515968252052)
(-11.625844605462415, 4.768854685095318)
(-11.404723732501578, 4.77354420196099)
(-11.341291239495362, 4.830172638423109)
(-11.184025730315996, 4.808886354145882)
(-11.053237721059817, 4.798047798989207)
(-10.922893322586514, 4.785215686019613)
(-10.822390000592161, 4.832253756628382)
(-10.533913484150975, 4.773618556198437)
(-10.285347605833449, 4.704739628516482)
(-10.319850154742541, 4.805887496895112)
(-10.024191243643916, 4.752909729167283)
(-9.671718113015285, 4.671886637877475)
(-9.625173386793508, 4.725742550120157)
(-9.619636389813108, 4.739829865093183)
(-9.47380284380824, 4.744618897689312)
(-9.336220109795063, 4.74256288390595)
(-9.209428532983914, 4.7317734854450855)
(-9.054225334901567, 4.702044346336181)
(-8.901183135177023, 4.671680264907525)
(-8.739000240716019, 4.633233541821633)
(-8.580151695238849, 4.594966231405992)
(-8.421996229406872, 4.555158993893706)
(-8.260069147962094, 4.510870028480789)
(-8.12626950635834, 4.644930987093574)
(-8.071017078021374, 4.76115164406394)
(-8.030798926461689, 4.831048501921232)
(-7.582757423232146, 4.686709404038634)
(-7.489703636730584, 4.716135244959391)
(-7.5397783413743396, 4.795808418552189)
(-7.449265219673927, 4.807559832405276)
(-7.194541830769342, 4.680690070379521)
(-7.0591869963505145, 4.7548674399280255)
(-7.0291793071459985, 4.86037587164964)
(-6.629206104167657, 4.719742282779225)
(-6.360325367926768, 4.635311366417133)
(-6.355461877948404, 4.696198732506575)
